symbol,previousClose,change,pChange,yearHigh,yearLow,iep,purpose,marketCap
BAJAJFINSV,11906.4,3.600000000000364,0.030235839548481185,11980,3985.3,11910, INTERIM DIVIDEND - RS 5 PER SHARE,718942232806.34
RELIANCE,1970.05,0.25,0.012690033247887108,2369.35,1412,1970.3, DIVIDEND - RS 6.50  PER SHARE,6388959300837.12
IDEA,8.55,0,0,13.8,5.55,8.55, ANNUAL GENERAL MEETING,67987930941.84
TATAPOWER,106.1,0,0,114.5,35.35,106.1, DIVIDEND - RS 1.55 PER SHARE,180106911236.43
WIPRO,527.25,0,0,545,187.7,527.25, INTERIM DIVIDEND - RE 1 PER SHARE,800185742783.87
ADANIPORTS,758.3,0,0,885,298,758.3, ANNUAL GENERAL MEETING,549596978357.54
BERGEPAINT,832.35,0,0,842.75,440.65,832.35, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.30 PER SHARE,193846207009.28
TATASTEEL,1082.15,0,0,1246.85,279.05,1082.15, ANNUAL GENERAL MEETING/DIVIDEND - RS 25 PER SHARE,852954650039.7
FEDERALBNK,87,0,0,92.5,37.95,87, ANNUAL GENERAL MEETING,175837118272.2
MFSL,934.3,-0.2999999999999545,-0.03210960077062555,964.8,413,934, ANNUAL GENERAL MEETING,198527344927.88
KOTAKBANK,1740.65,-0.650000000000091,-0.03734237210238077,2049,1161,1740, ANNUAL GENERAL MEETING/DIVIDEND RS 0.80 PER SHARE,2606159592511.72
MGL,1190.4,-0.4500000000000455,-0.03780241935484253,1257,779.65,1189.95, INTERIM DIVIDEND - RS 9 PER SHARE,69362348378.27
HINDUNILVR,2354,-1,-0.04248088360237893,2505.9,1961,2353, ANNUAL GENERAL MEETING/DIVIDEND - RS 17  PER SH,2077090332248.64
TECHM,1007.8,-0.7999999999999545,-0.07938082952966408,1081.55,512.05,1007, SPECIAL DIVIDEND - RS 15 PER SHARE,631956234449.02
DRREDDY,5285.2,-6.449999999999818,-0.12203890108226402,5512.65,3814,5278.75, ANNUAL GENERAL MEETING/DIVIDEND - RS 25 PER SHARE,639634540420.12
SAIL,118.75,-0.20000000000000284,-0.16842105263158133,151.3,28.35,118.55, INTERIM DIVIDEND - RS  1.00 PER SHARE,176734850803.09
MARUTI,7034.3,-12.300000000000182,-0.17485748404248014,8329,5135.4,7022, DIVIDEND - RS 60 PER SHARE,926272921258.96
ICICIBANK,652.5,-1.3999999999999773,-0.2145593869731766,679.4,294.85,651.1, ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,4510605096526.25
BATAINDIA,1535.4,-3.5,-0.2279536277191611,1681.95,1213.8,1531.9, ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE,93390681114.8
MUTHOOTFIN,1270.3,-3.25,-0.2558450759663072,1405.75,786,1267.05, INTERIM DIVIDEND - RS 20 PER SHARE,134767650120.88
HDFCBANK,1477.05,-3.9500000000000455,-0.2674249348363323,1641,857.15,1473.1, FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 2 PER SHARE TO RS 1 PER SHARE,6457079260319.47
ONGC,113.35,-0.3499999999999943,-0.30877812086457374,122.35,64.1,113, INTERIM DIVIDEND - RS 1.75 PER SHARE,408060226465.42
INDUSINDBK,998.45,-3.150000000000091,-0.3154890079623507,1119.5,347.65,995.3, ANNUAL GENERAL MEETING/DIVIDEND - RS 7.50 PER SHARE,568269449022.59
PIDILITIND,2101.85,-6.849999999999909,-0.32590337083997,2124,1306.95,2095, ANNUAL GENERAL MEETING,319747892064.3
AMBUJACEM,323.1,-1.1000000000000227,-0.3404518724853057,335,181.65,322, DIVIDEND - RE 1 PER SHARE,242520751334.37
PAGEIND,31836.1,-125.09999999999854,-0.39295014150602164,32460,17636.15,31711, INTERIM DIVIDEND - RS 150 PER SHARE,184234269949.24
TRENT,826,-5,-0.6053268765133172,944.7,456.1,821, ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,185458874866.08
CONCOR,666.6,-5.300000000000068,-0.7950795079508053,680.95,339.3,661.3, INTERIM DIVIDEND - RS 3 PER SHARE,183071626271.82
PFIZER,5267.8,-47.80000000000018,-0.907399673487987,5900,3930.85,5220, ANNUAL GENERAL MEETING/DIVIDEND - RS 10 PER SHARE,79833635149.49
MANAPPURAM,160.35,-3.6999999999999886,-2.307452447770495,187.25,112.25,156.65, INTERIM DIVIDEND - RS 0.75 PER SHARE,83526042375.55
CUMMINSIND,802.65,-19.649999999999977,-2.448140534479534,934.25,338.45,783, INTERIM DIVIDEND - RS 7 PER SHARE,104825259000
